asin,captcha,title,brand,manufacturer,description,images,price,stars,ratings_quantity,time,is_empty,id,category,method,is_valid
B0CP9Z56SW,False,True,True,True,True,True,True,True,True,4.827744960784912,False,1,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B01M16WBW1,False,True,True,True,True,True,True,True,True,4.835377931594849,False,2,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B0154ASID6,False,True,True,True,True,True,True,True,True,4.020211935043335,False,3,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B085DVNHHK,False,True,True,True,True,True,True,True,True,4.121112823486328,False,4,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B08QRFZ6TH,True,True,True,True,True,True,False,True,True,3.8370442390441895,False,5,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B0725WFLMB,False,True,True,False,True,True,True,True,True,4.143669843673706,False,6,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B0B1CNJL7N,False,True,True,True,True,True,True,True,True,4.710406064987183,False,7,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B00NX0WXQI,False,True,True,True,True,True,True,True,True,4.439996957778931,False,8,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B01NBNDC1T,False,True,True,False,True,True,True,True,True,4.314715147018433,False,9,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B01LYNW421,False,True,True,False,True,True,True,True,True,4.744099855422974,False,10,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B0C3FTCYZL,False,True,True,False,True,True,True,True,True,4.406738758087158,False,11,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B00FXNAAW2,False,True,True,True,True,True,True,True,True,3.6753268241882324,False,12,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B0157T2ENY,False,True,True,True,True,True,True,True,True,4.735597848892212,False,13,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B08BZFRQLS,False,True,True,True,True,True,True,True,True,4.178521156311035,False,14,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B00E4GACB8,True,True,True,False,True,True,False,True,True,2.7898712158203125,False,15,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B09D8T11YS,False,True,True,True,True,True,True,True,True,4.198312282562256,False,16,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B07P5NBRL5,False,True,True,True,True,True,True,True,True,4.40851092338562,False,17,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B0016HF5GK,True,True,True,True,True,True,False,True,True,3.6494569778442383,False,18,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B07PCQKTCN,True,True,True,True,True,True,False,True,True,3.8196380138397217,False,19,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
B0CFGYFCYL,False,True,True,False,True,True,True,True,True,4.541149854660034,False,20,home_and_kitchen,SELENIUM_CAPTCHA_ROTATE_USER_AGENT,False
